Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTDs,Int,RushAtt,RushYds,RushY/A,RushTDs,Tgt,Rec,RecYds,Y/R,RecTDs,Fmb,FL,TotTDs,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
61,Josh Reynolds,DET,WR,28,7,5,0,0,0,0,0,0,0,,0,30,21,384,18.29,3,0,0,3,,,56.0,77.4,80.4,66.9,4.0,23,61.0
62,Alexander Mattison,MIN,RB,25,7,7,0,0,0,0,0,90,359,3.99,0,31,20,107,5.35,2,1,1,2,,,57.0,76.6,83.6,66.6,4.0,20,62.0
63,CeeDee Lamb,DAL,WR,24,6,6,0,0,0,0,0,3,21,7.0,0,42,34,475,13.97,1,1,0,1,,,56.0,89.6,92.6,72.6,3.0,24,63.0
64,Sam Howell,WAS,QB,23,7,7,167,256,1749,9,7,21,119,5.67,1,0,0,0,,0,2,1,1,1.0,,110.0,109.9,123.9,116.9,3.0,11,64.0
65,Terry McLaurin,WAS,WR,28,7,7,0,0,0,0,0,0,0,,0,51,37,432,11.68,1,0,0,2,,,55.0,92.2,95.2,73.7,3.0,25,65.0
66,Tutu Atwell,LAR,WR,24,7,7,0,0,0,0,0,2,27,13.5,0,43,26,340,13.08,3,0,0,3,,,55.0,80.7,83.7,67.7,3.0,26,66.0
67,Rhamondre Stevenson,NWE,RB,25,7,7,0,0,0,0,0,87,268,3.08,2,30,23,162,7.04,0,0,0,2,,,55.0,78.0,84.0,66.5,2.0,21,67.0
68,Kendrick Bourne,NWE,WR,28,7,4,0,0,0,0,0,1,4,4.0,0,51,34,370,10.88,3,1,1,3,,,53.0,87.4,91.4,70.4,1.0,27,68.0
69,Chris Olave,NOR,WR,23,7,5,0,0,0,0,0,0,0,,0,68,39,471,12.08,1,0,0,1,,,53.0,92.1,95.1,72.6,1.0,28,69.0
70,Kyle Pitts,ATL,TE,23,7,5,0,0,0,0,0,1,-4,-4.0,0,42,25,298,11.92,1,0,0,1,,,35.0,60.4,63.4,47.9,1.0,10,70.0
71,Saquon Barkley,NYG,RB,26,4,4,0,0,0,0,0,74,284,3.84,1,20,16,87,5.44,2,1,1,3,,,53.0,69.1,73.1,61.1,,22,71.0
72,Joe Mixon,CIN,RB,27,6,6,0,0,0,0,0,96,366,3.81,1,21,16,104,6.5,0,0,0,1,,,53.0,69.0,75.0,61.0,,23,72.0
73,Jonnu Smith,ATL,TE,28,7,1,0,0,0,0,0,0,0,,0,35,28,309,11.04,1,1,1,1,,,35.0,62.9,66.9,48.9,,11,73.0
74,Josh Downs,IND,WR,22,7,5,0,0,0,0,0,0,0,,0,47,33,401,12.15,2,0,0,2,,,52.0,85.1,88.1,68.6,,29,74.0
75,Evan Engram,JAX,TE,29,7,6,0,0,0,0,0,0,0,,0,51,41,346,8.44,0,1,0,0,,,35.0,75.6,78.6,55.1,,12,75.0
76,Rashid Shaheed,NOR,WR,25,7,3,0,0,0,0,0,6,33,5.5,0,35,20,326,16.3,2,1,1,3,,,52.0,71.9,75.9,61.9,,30,76.0
77,Tyler Allgeier,ATL,RB,23,7,2,0,0,0,0,0,96,301,3.14,2,13,9,85,9.44,0,0,0,2,1.0,,53.0,61.6,64.6,57.1,,24,77.0
78,Trevor Lawrence,JAX,QB,24,7,7,161,239,1643,8,3,41,206,5.02,0,0,0,0,,0,6,3,0,,,106.0,106.3,118.3,109.3,,12,78.0
79,Justin Fields,CHI,QB,24,6,6,100,162,1201,11,6,47,237,5.04,1,0,0,0,,0,4,2,1,,,106.0,105.7,119.7,111.7,,13,
80,Jordan Love,GNB,QB,25,6,6,111,193,1263,10,7,21,130,6.19,2,0,0,0,,0,2,0,2,,2.0,106.0,105.5,118.5,112.5,,14,
81,Joshua Dobbs,ARI,QB,28,7,7,142,229,1361,6,3,41,232,5.66,2,0,0,0,,0,6,4,2,1.0,,102.0,101.6,114.6,104.6,,16,
82,C.J. Stroud,HOU,QB,22,6,6,127,213,1660,9,1,18,55,3.06,0,1,1,0,0.0,0,3,2,0,,,102.0,102.9,108.9,103.4,,15,
83,Matthew Stafford,LAR,QB,35,7,7,153,256,1908,7,6,12,59,4.92,0,0,0,0,,0,0,0,0,,1.0,100.0,100.2,109.2,106.2,,17,
84,Desmond Ridder,ATL,QB,24,7,7,149,228,1630,6,6,26,113,4.35,3,1,1,-6,-6.0,0,6,5,3,,1.0,98.0,98.9,115.9,104.4,,18,
85,Baker Mayfield,TAM,QB,28,6,6,133,204,1363,8,4,28,99,3.54,0,0,0,0,,0,2,0,0,,1.0,90.0,90.4,97.4,94.4,,19,
86,Dak Prescott,DAL,QB,30,6,6,132,190,1333,6,4,19,85,4.47,1,0,0,0,,0,0,0,1,,,84.0,83.8,90.8,87.8,,20,
87,Derek Carr,NOR,QB,32,7,7,163,255,1600,6,4,14,21,1.5,0,0,0,0,,0,2,1,0,,1.0,82.0,82.1,90.1,86.1,,21,
88,Geno Smith,SEA,QB,33,6,6,129,188,1391,7,4,18,52,2.89,0,1,1,-2,-2.0,0,1,1,0,,1.0,81.0,81.6,89.6,85.1,,22,
89,Mac Jones,NWE,QB,25,7,7,154,231,1480,7,7,19,70,3.68,0,0,0,0,,0,2,2,0,,,76.0,76.2,88.2,83.2,,23,
90,Anthony Richardson,IND,QB,21,4,4,50,84,577,3,1,25,136,5.44,4,0,0,0,,0,3,1,4,,2.0,73.0,72.7,80.7,73.7,,24,
91,Joe Burrow,CIN,QB,27,6,6,147,232,1230,7,4,14,14,1.0,0,0,0,0,,0,1,1,0,,,69.0,68.6,76.6,72.6,,26,
92,Kenny Pickett,PIT,QB,25,6,6,112,184,1257,5,4,24,12,0.5,1,0,0,0,,0,0,0,1,,,69.0,69.5,76.5,73.5,,25,
93,Gardner Minshew II,IND,QB,27,7,3,105,161,1187,5,4,9,37,4.11,2,0,0,0,,0,5,4,2,,,67.0,67.2,78.2,71.2,,27,
94,Zach Wilson,NYJ,QB,24,6,5,110,182,1097,4,5,19,98,5.16,0,0,0,0,,0,3,1,0,1.0,1.0,62.0,61.7,70.7,66.7,,28,
95,Jimmy Garoppolo,LVR,QB,32,5,5,100,147,1079,7,8,18,27,1.5,0,0,0,0,,0,1,0,0,,1.0,60.0,59.9,70.9,67.9,,29,
96,Bryce Young,CAR,QB,22,5,5,115,182,967,6,4,8,65,8.13,0,0,0,0,,0,4,2,0,,1.0,59.0,59.2,68.2,63.2,,30,
97,Daniel Jones,NYG,QB,26,5,5,104,151,884,2,6,38,197,5.18,1,0,0,0,,0,4,1,1,,,55.0,55.1,68.1,61.1,,31,
98,Alvin Kamara,NOR,RB,28,4,4,0,0,0,0,0,69,261,3.78,1,39,35,177,5.06,0,0,0,1,1.0,,52.0,86.8,92.8,69.3,,25,
99,Deebo Samuel,SFO,WR,27,6,6,0,0,0,0,0,18,95,5.28,1,32,20,302,15.1,1,1,0,2,,,52.0,71.7,74.7,61.7,,31,
100,Deshaun Watson,CLE,QB,28,4,4,66,107,683,4,3,15,83,5.53,1,0,0,0,,0,4,2,1,2.0,,52.0,51.6,59.6,54.6,,32,
101,James Conner,ARI,RB,28,5,5,0,0,0,0,0,68,364,5.35,2,10,8,30,3.75,0,0,0,2,,,51.0,59.4,62.4,55.4,,26,
102,Zay Flowers,BAL,WR,23,7,7,0,0,0,0,0,6,12,2.0,0,54,39,442,11.33,1,0,0,1,,,51.0,90.4,93.4,70.9,,32,
103,Drake London,ATL,WR,22,7,7,1,1,22,0,0,0,0,,0,50,32,383,11.97,2,0,0,2,,,51.0,83.2,86.2,67.2,,33,
104,Curtis Samuel,WAS,WR,27,7,4,0,0,0,0,0,4,20,5.0,1,39,31,310,10.0,2,0,0,3,,,51.0,82.0,85.0,66.5,,34,
105,Ryan Tannehill,TEN,QB,35,6,6,98,158,1128,2,6,12,40,3.33,1,0,0,0,,0,3,0,1,,,51.0,51.1,60.1,57.1,,33,
106,Romeo Doubs,GNB,WR,23,6,5,0,0,0,0,0,0,0,,0,42,23,258,11.22,4,0,0,4,,,50.0,72.8,75.8,61.3,,36,
107,Calvin Ridley,JAX,WR,29,7,7,0,0,0,0,0,4,10,2.5,0,48,27,368,13.63,2,1,0,2,,,50.0,76.8,79.8,63.3,,37,
108,DeVonta Smith,PHI,WR,25,7,7,0,0,0,0,0,0,0,,0,50,32,383,11.97,2,0,0,2,,,50.0,82.3,85.3,66.3,,35,
109,Garrett Wilson,NYJ,WR,23,6,6,0,0,0,0,0,0,0,,0,55,32,369,11.53,2,0,0,2,,,49.0,80.9,83.9,64.9,,38,
